DATE,BAMLCC0A1AAATRIV
2019-07-23,685.70
2019-07-24,688.19
2019-07-25,686.66
2019-07-26,687.07
2019-07-29,688.40
2019-07-30,687.94
2019-07-31,690.30
2019-08-01,697.06
2019-08-02,697.46
2019-08-05,701.01
2019-08-06,701.42
2019-08-07,704.91
2019-08-08,704.99
2019-08-09,704.22
2019-08-12,711.31
2019-08-13,710.72
2019-08-14,717.55
2019-08-15,720.87
2019-08-16,720.61
2019-08-19,716.07
2019-08-20,719.97
2019-08-21,719.81
2019-08-22,717.54
2019-08-23,722.97
2019-08-26,721.51
2019-08-27,726.76
2019-08-28,728.29
2019-08-29,724.86
2019-08-30,725.85
2019-08-31,725.85
2019-09-02,725.97
2019-09-03,727.14
2019-09-04,727.21
2019-09-05,719.28
2019-09-06,721.90
2019-09-09,716.03
2019-09-10,709.71
2019-09-11,708.09
2019-09-12,704.50
2019-09-13,695.78
2019-09-16,700.78
2019-09-17,702.72
2019-09-18,706.05
2019-09-19,708.46
2019-09-20,710.52
2019-09-23,713.24
2019-09-24,718.30
2019-09-25,711.16
2019-09-26,715.25
2019-09-27,715.49
2019-09-30,715.69
2019-10-01,717.76
2019-10-02,718.35
2019-10-03,721.89
2019-10-04,724.06
2019-10-07,722.16
2019-10-08,721.62
2019-10-09,719.11
2019-10-10,714.87
2019-10-11,711.08
2019-10-14,711.26
2019-10-15,710.84
2019-10-16,713.27
2019-10-17,713.13
2019-10-18,713.89
2019-10-21,711.28
2019-10-22,714.12
2019-10-23,714.06
2019-10-24,714.28
2019-10-25,712.00
2019-10-28,708.42
2019-10-29,709.23
2019-10-30,711.09
2019-10-31,717.27
2019-11-01,715.16
2019-11-04,711.04
2019-11-05,706.70
2019-11-06,711.00
2019-11-07,703.93
2019-11-08,703.55
2019-11-11,703.73
2019-11-12,705.81
2019-11-13,707.61
2019-11-14,711.19
2019-11-15,710.01
2019-11-18,711.96
2019-11-19,713.91
2019-11-20,716.36
2019-11-21,713.39
2019-11-22,713.97
2019-11-25,715.87
2019-11-26,718.55
2019-11-27,718.53
2019-11-28,.
2019-11-29,717.73
2019-11-30,717.79
2019-12-02,712.02
2019-12-03,721.29
2019-12-04,716.88
2019-12-05,716.40
2019-12-06,714.80
2019-12-09,716.34
2019-12-10,716.95
2019-12-11,719.39
2019-12-12,713.27
2019-12-13,720.12
2019-12-16,716.55
2019-12-17,716.59
2019-12-18,714.82
2019-12-19,715.89
2019-12-20,714.97
2019-12-23,713.99
2019-12-24,715.87
2019-12-25,.
2019-12-26,716.06
2019-12-27,718.53
2019-12-30,716.61
2019-12-31,714.50
2020-01-01,.
2020-01-02,716.75
2020-01-03,721.22
2020-01-06,716.80
2020-01-07,714.94
2020-01-08,711.60
2020-01-09,714.58
2020-01-10,718.84
2020-01-13,717.91
2020-01-14,718.91
2020-01-15,721.34
2020-01-16,720.14
2020-01-17,718.88
2020-01-20,719.06
2020-01-21,724.41
2020-01-22,726.19
2020-01-23,728.43
2020-01-24,732.49
2020-01-27,735.38
2020-01-28,732.85
2020-01-29,737.10
2020-01-30,737.07
2020-01-31,737.81
2020-02-03,738.15
2020-02-04,733.17
2020-02-05,730.71
2020-02-06,732.89
2020-02-07,738.74
2020-02-10,740.11
2020-02-11,737.60
2020-02-12,734.92
2020-02-13,736.11
2020-02-14,738.42
2020-02-17,738.60
2020-02-18,741.06
2020-02-19,739.96
2020-02-20,741.64
2020-02-21,743.71
2020-02-24,747.80
2020-02-25,750.21
2020-02-26,749.96
2020-02-27,748.15
2020-02-28,756.47
2020-02-29,756.59
2020-03-02,759.98
2020-03-03,765.13
2020-03-04,765.68
2020-03-05,770.37
2020-03-06,786.77
2020-03-09,789.81
2020-03-10,766.82
2020-03-11,759.86
2020-03-12,739.69
2020-03-13,728.50
2020-03-16,737.25
2020-03-17,709.75
2020-03-18,677.51
2020-03-19,674.08
2020-03-20,661.27
2020-03-23,690.44
2020-03-24,703.59
2020-03-25,721.73
2020-03-26,731.41
2020-03-27,740.65
2020-03-30,749.00
2020-03-31,746.57
2020-04-01,746.09
2020-04-02,747.74
2020-04-03,747.27
2020-04-06,745.44
2020-04-07,745.48
2020-04-08,749.11
2020-04-09,759.97
2020-04-10,.
2020-04-13,762.02
2020-04-14,763.41
2020-04-15,768.02
2020-04-16,772.68
2020-04-17,770.29
2020-04-20,772.05
2020-04-21,774.39
2020-04-22,769.69
2020-04-23,774.10
2020-04-24,774.40
2020-04-27,768.63
2020-04-28,771.95
2020-04-29,770.90
2020-04-30,769.20
2020-05-01,768.46
2020-05-04,768.38
2020-05-05,767.23
2020-05-06,759.93
2020-05-07,765.64
2020-05-08,759.45
2020-05-11,753.19
2020-05-12,755.72
2020-05-13,760.81
2020-05-14,763.27
2020-05-15,762.67
2020-05-18,760.39
2020-05-19,767.23
2020-05-20,774.32
2020-05-21,773.72
2020-05-22,775.92
2020-05-25,776.11
2020-05-26,774.02
2020-05-27,774.10
2020-05-28,771.77
2020-05-29,777.58
2020-05-31,777.64
2020-06-01,775.80
2020-06-02,774.53
2020-06-03,772.10
2020-06-04,767.16
2020-06-05,766.77
2020-06-08,769.10
2020-06-09,771.40
2020-06-10,775.57
2020-06-11,780.02
2020-06-12,775.56
2020-06-15,775.61
2020-06-16,777.83
2020-06-17,777.42
2020-06-18,779.90
2020-06-19,779.63
2020-06-22,780.10
2020-06-23,777.71
2020-06-24,777.42
2020-06-25,778.78
2020-06-26,781.60
2020-06-29,779.62
2020-06-30,781.78
2020-07-01,782.99
2020-07-02,786.47
2020-07-03,786.53
2020-07-06,788.68
2020-07-07,793.01
2020-07-08,792.52
2020-07-09,799.51
2020-07-10,797.74
2020-07-13,797.91
2020-07-14,799.23
2020-07-15,799.61
2020-07-16,802.08
2020-07-17,801.37
2020-07-20,803.33
2020-07-21,805.05
2020-07-22,806.53
2020-07-23,808.89
2020-07-24,808.76
2020-07-27,806.62
2020-07-28,807.75
2020-07-29,805.71
2020-07-30,809.76
2020-07-31,808.50
2020-08-03,804.76
2020-08-04,808.84
2020-08-05,808.36
2020-08-06,809.66
2020-08-07,808.85
2020-08-10,806.60
2020-08-11,797.55
2020-08-12,795.88
2020-08-13,789.74
2020-08-14,787.37
2020-08-17,788.14
2020-08-18,789.99
2020-08-19,789.23
2020-08-20,792.05
2020-08-21,793.78
2020-08-24,794.71
2020-08-25,791.16
2020-08-26,789.75
2020-08-27,781.18
2020-08-28,782.62
2020-08-31,788.70
2020-09-01,792.55
2020-09-02,798.28
2020-09-03,800.42
2020-09-04,788.09
2020-09-07,788.27
2020-09-08,791.87
2020-09-09,788.63
2020-09-10,792.04
2020-09-11,793.52
2020-09-14,794.60
2020-09-15,793.65
2020-09-16,792.84
2020-09-17,795.48
2020-09-18,793.27
2020-09-21,793.21
2020-09-22,793.87
2020-09-23,792.44
2020-09-24,792.35
2020-09-25,790.50
2020-09-28,789.19
2020-09-29,791.81
2020-09-30,789.68
2020-10-01,789.66
2020-10-02,788.51
2020-10-05,783.46
2020-10-06,790.11
2020-10-07,785.40
2020-10-08,788.96
2020-10-09,787.74
2020-10-12,787.91
2020-10-13,793.59
2020-10-14,794.18
2020-10-15,791.90
2020-10-16,791.36
2020-10-19,790.04
2020-10-20,785.53
2020-10-21,783.81
2020-10-22,781.61
2020-10-23,783.60
2020-10-26,787.68
2020-10-27,789.72
2020-10-28,787.60
2020-10-29,781.25
2020-10-30,780.42
2020-10-31,780.43
2020-11-02,782.31
2020-11-03,781.10
2020-11-04,792.75
2020-11-05,794.32
2020-11-06,791.10
2020-11-09,782.03
2020-11-10,780.55
2020-11-11,780.61
2020-11-12,788.17
2020-11-13,788.08
2020-11-16,788.28
2020-11-17,792.24
2020-11-18,793.87
2020-11-19,797.22
2020-11-20,801.27
2020-11-23,799.21
2020-11-24,796.57
2020-11-25,796.11
2020-11-26,796.17
2020-11-27,800.69
2020-11-30,801.75
2020-12-01,795.07
2020-12-02,794.27
2020-12-03,799.47
2020-12-04,793.43
2020-12-07,796.96
2020-12-08,797.81
2020-12-09,793.04
2020-12-10,796.54
2020-12-11,796.76
2020-12-14,795.94
2020-12-15,793.90
2020-12-16,795.22
2020-12-17,795.19
2020-12-18,793.75
2020-12-21,794.58
2020-12-22,797.25
2020-12-23,793.99
2020-12-24,796.67
2020-12-25,.
2020-12-28,797.98
2020-12-29,798.20
2020-12-30,799.67
2020-12-31,801.95
2021-01-01,.
2021-01-04,799.68
2021-01-05,793.58
2021-01-06,783.91
2021-01-07,782.49
2021-01-08,781.04
2021-01-11,779.81
2021-01-12,778.74
2021-01-13,786.47
2021-01-14,782.79
2021-01-15,784.53
2021-01-18,784.71
2021-01-19,786.15
2021-01-20,785.94
2021-01-21,782.72
2021-01-22,783.53
2021-01-25,787.21
2021-01-26,787.06
2021-01-27,789.10
2021-01-28,785.33
2021-01-29,783.27
2021-01-31,783.33
2021-02-01,783.19
2021-02-02,780.73
2021-02-03,778.30
2021-02-04,777.50
2021-02-05,775.07
2021-02-08,778.17
2021-02-09,777.79
2021-02-10,779.32
2021-02-11,777.29
2021-02-12,773.05
2021-02-15,773.22
2021-02-16,767.43
2021-02-17,768.96
2021-02-18,770.42
2021-02-19,765.53
2021-02-22,761.04
2021-02-23,758.56
2021-02-24,756.86
2021-02-25,750.12
2021-02-26,757.39
2021-02-28,757.62
2021-03-01,756.88
2021-03-02,757.76
2021-03-03,754.67
2021-03-04,748.26
2021-03-05,748.42
2021-03-08,744.60
2021-03-09,747.61
2021-03-10,749.36
2021-03-11,748.85
2021-03-12,739.71
2021-03-15,741.74
2021-03-16,740.31
2021-03-17,737.34
2021-03-18,735.24
2021-03-19,737.29
2021-03-22,742.66
2021-03-23,745.00
2021-03-24,746.98
2021-03-25,745.26
2021-03-26,744.09
2021-03-29,740.27
2021-03-30,742.81
2021-03-31,742.68
2021-04-01,750.50
2021-04-02,.
2021-04-05,748.05
2021-04-06,752.05
2021-04-07,751.31
2021-04-08,752.90
2021-04-09,751.60
2021-04-12,750.80
2021-04-13,754.38
2021-04-14,753.24
2021-04-15,762.18
2021-04-16,757.48
2021-04-19,753.06
2021-04-20,756.24
2021-04-21,755.86
2021-04-22,757.81
2021-04-23,757.72
2021-04-26,758.47
2021-04-27,754.01
2021-04-28,754.23
2021-04-29,753.44
2021-04-30,753.72
2021-05-03,756.00
2021-05-04,757.09
2021-05-05,758.06
2021-05-06,759.62
2021-05-07,757.32
2021-05-10,754.23
2021-05-11,750.17
2021-05-12,744.11
2021-05-13,746.92
2021-05-14,750.31
2021-05-17,751.21
2021-05-18,749.97
2021-05-19,747.01
2021-05-20,751.64
2021-05-21,753.02
2021-05-24,756.04
2021-05-25,759.29
2021-05-26,759.17
2021-05-27,756.46
2021-05-28,758.40
2021-05-31,758.52
2021-06-01,756.54
2021-06-02,758.14
2021-06-03,755.78
2021-06-04,760.78
2021-06-07,759.87
2021-06-08,763.56
2021-06-09,767.07
2021-06-10,768.92
2021-06-11,769.10
2021-06-14,766.30
2021-06-15,765.96
2021-06-16,764.69
2021-06-17,773.80
2021-06-18,778.81
2021-06-21,772.98
2021-06-22,772.89
2021-06-23,772.29
2021-06-24,773.50
2021-06-25,768.74
2021-06-28,775.24
2021-06-29,775.84
2021-06-30,778.60
2021-07-01,775.94
2021-07-02,779.26
2021-07-05,779.43
2021-07-06,783.61
2021-07-07,786.17
2021-07-08,788.92
2021-07-09,783.44
2021-07-12,782.31
2021-07-13,778.30
2021-07-14,783.17
2021-07-15,788.35
2021-07-16,787.00
2021-07-19,794.47
2021-07-20,789.52
2021-07-21,786.31
2021-07-22,789.28
2021-07-23,787.65
2021-07-26,787.86
2021-07-27,790.97
2021-07-28,789.89
2021-07-29,789.66
2021-07-30,790.90
2021-07-31,790.90
2021-08-02,794.74
2021-08-03,794.06
2021-08-04,794.45
2021-08-05,792.05
2021-08-06,785.00
2021-08-09,781.48
2021-08-10,779.91
2021-08-11,778.37
2021-08-12,778.24
2021-08-13,784.84
2021-08-16,787.98
2021-08-17,787.37
2021-08-18,787.21
2021-08-19,789.09
2021-08-20,790.00
2021-08-23,791.24
2021-08-24,789.19
2021-08-25,785.29
2021-08-26,786.93
2021-08-27,789.24
2021-08-30,791.45
2021-08-31,789.06
2021-09-01,789.78
2021-09-02,790.95
2021-09-03,787.96
2021-09-06,788.13
2021-09-07,783.81
2021-09-08,787.01
2021-09-09,791.76
2021-09-10,789.38
2021-09-13,791.98
2021-09-14,796.38
2021-09-15,794.43
2021-09-16,792.66
2021-09-17,790.31
2021-09-20,794.99
2021-09-21,794.15
2021-09-22,795.07
2021-09-23,788.65
2021-09-24,784.66
2021-09-27,785.03
2021-09-28,777.74
2021-09-29,776.26
2021-09-30,775.33
2021-10-01,779.89
2021-10-04,779.13
2021-10-05,775.21
2021-10-06,776.13
2021-10-07,771.78
2021-10-08,768.44
2021-10-11,768.62
2021-10-12,771.56
2021-10-13,777.41
2021-10-14,779.74
2021-10-15,777.73
2021-10-18,779.59
2021-10-19,774.35
2021-10-20,772.51
2021-10-21,769.74
2021-10-22,772.68
2021-10-25,772.81
2021-10-26,775.71
2021-10-27,785.07
2021-10-28,781.90
2021-10-29,782.19
2021-10-31,782.25
2021-11-01,780.01
2021-11-02,781.10
2021-11-03,778.91
2021-11-04,783.39
2021-11-05,791.13
2021-11-08,790.55
2021-11-09,793.85
2021-11-10,783.72
2021-11-11,783.78
2021-11-12,779.89
2021-11-15,775.14
2021-11-16,773.69
2021-11-17,775.53
2021-11-18,777.43
2021-11-19,783.32
2021-11-22,776.22
2021-11-23,770.93
2021-11-24,773.78
2021-11-25,773.84
2021-11-26,782.87
2021-11-29,779.27
2021-11-30,786.36
2021-12-01,785.55
2021-12-02,784.18
2021-12-03,794.97
2021-12-06,789.70
2021-12-07,787.51
2021-12-08,781.37
2021-12-09,781.32
2021-12-10,779.98
2021-12-13,786.67
2021-12-14,784.05
2021-12-15,780.65
2021-12-16,782.18
2021-12-17,785.06
2021-12-20,781.72
2021-12-21,778.07
2021-12-22,781.82
2021-12-23,778.77
2021-12-24,.
2021-12-27,780.71
2021-12-28,781.14
2021-12-29,777.86
2021-12-30,779.89
2021-12-31,782.85
2022-01-03,770.91
2022-01-04,768.23
2022-01-05,767.56
2022-01-06,765.45
2022-01-07,762.50
2022-01-10,761.20
2022-01-11,764.50
2022-01-12,764.91
2022-01-13,766.13
2022-01-14,759.41
2022-01-17,759.59
2022-01-18,750.77
2022-01-19,754.40
2022-01-20,753.79
2022-01-21,757.34
2022-01-24,754.29
2022-01-25,751.09
2022-01-26,748.45
2022-01-27,750.94
2022-01-28,748.31
2022-01-31,748.53
2022-02-01,748.31
2022-02-02,752.04
2022-02-03,745.59
2022-02-04,737.49
2022-02-07,738.20
2022-02-08,737.09
2022-02-09,739.04
2022-02-10,731.70
2022-02-11,735.29
2022-02-14,730.27
2022-02-15,726.39
2022-02-16,724.11
2022-02-17,726.46
2022-02-18,729.42
2022-02-21,729.60
2022-02-22,727.18
2022-02-23,725.15
2022-02-24,721.60
2022-02-25,722.47
2022-02-28,734.12
2022-03-01,740.74
2022-03-02,729.63
2022-03-03,731.39
2022-03-04,735.60
2022-03-07,731.23
2022-03-08,721.29
2022-03-09,719.55
2022-03-10,712.21
2022-03-11,713.80
2022-03-14,703.81
2022-03-15,702.60
2022-03-16,708.50
2022-03-17,712.75
2022-03-18,718.49
2022-03-21,711.13
2022-03-22,707.22
2022-03-23,710.74
2022-03-24,709.01
2022-03-25,703.00
2022-03-28,704.52
2022-03-29,709.78
2022-03-30,713.75
2022-03-31,716.37
2022-04-01,716.59
2022-04-04,716.21
2022-04-05,708.31
2022-04-06,702.73
2022-04-07,699.92
2022-04-08,693.70
2022-04-11,686.34
2022-04-12,686.75
2022-04-13,688.14
2022-04-14,680.29
2022-04-15,.
2022-04-18,677.34
2022-04-19,672.91
2022-04-20,679.62
2022-04-21,673.61
2022-04-22,671.33
2022-04-25,674.81
2022-04-26,677.77
2022-04-27,675.24
2022-04-28,672.02
2022-04-29,670.36
2022-04-30,670.42
2022-05-02,662.04
2022-05-03,666.77
2022-05-04,668.51
2022-05-05,658.36
2022-05-06,655.40
2022-05-09,656.14
2022-05-10,661.27
2022-05-11,666.08
2022-05-12,670.25
2022-05-13,662.31
2022-05-16,663.78
2022-05-17,658.77
2022-05-18,663.88
2022-05-19,664.39
2022-05-20,668.86
2022-05-23,665.59
2022-05-24,672.47
2022-05-25,675.53
2022-05-26,678.10
2022-05-27,680.25
2022-05-30,680.42
2022-05-31,676.42
2022-06-01,674.43
2022-06-02,673.89
2022-06-03,670.81
2022-06-06,665.39
2022-06-07,669.75
2022-06-08,666.36
2022-06-09,665.22
2022-06-10,657.99
2022-06-13,643.33
2022-06-14,639.08
2022-06-15,644.63
2022-06-16,647.05
2022-06-17,651.73
2022-06-20,651.92
2022-06-21,647.88
2022-06-22,655.18
2022-06-23,659.76
2022-06-24,657.15
2022-06-27,654.70
2022-06-28,653.35
2022-06-29,659.68
2022-06-30,663.71
2022-07-01,664.88
2022-07-04,665.06
2022-07-05,670.25
2022-07-06,665.23
2022-07-07,663.57
2022-07-08,659.55
2022-07-11,666.49
2022-07-12,668.00
2022-07-13,671.59
2022-07-14,668.75
2022-07-15,671.67
2022-07-18,670.59
2022-07-19,667.60
2022-07-20,668.53
2022-07-21,676.66
2022-07-22,682.25
2022-07-25,677.39
2022-07-26,679.15
2022-07-27,682.32
2022-07-28,683.11
2022-07-29,687.55
2022-07-31,687.61
2022-08-01,689.81
2022-08-02,682.61
2022-08-03,682.87
2022-08-04,684.55
2022-08-05,674.84
2022-08-08,679.70
2022-08-09,677.84
2022-08-10,678.35
2022-08-11,673.06
2022-08-12,675.70
2022-08-15,678.55
2022-08-16,677.12
2022-08-17,673.59
2022-08-18,674.08
2022-08-19,667.28
2022-08-22,664.48
2022-08-23,664.42
2022-08-24,660.66
2022-08-25,667.16
2022-08-26,667.09
2022-08-29,662.61
2022-08-30,663.39
2022-08-31,660.43
2022-09-01,651.39
2022-09-02,654.63
2022-09-05,654.81
2022-09-06,645.08
2022-09-07,650.89
2022-09-08,649.71
2022-09-09,649.51
2022-09-12,648.03
2022-09-13,645.28
2022-09-14,647.32
2022-09-15,646.20
2022-09-16,644.09
2022-09-19,643.95
2022-09-20,639.99
2022-09-21,644.77
2022-09-22,634.20
2022-09-23,633.29
2022-09-26,624.41
2022-09-27,614.17
2022-09-28,625.21
2022-09-29,620.59
2022-09-30,619.33
2022-10-03,627.58
2022-10-04,629.66
2022-10-05,624.88
2022-10-06,623.64
2022-10-07,619.25
2022-10-10,619.44
2022-10-11,612.98
2022-10-12,613.78
2022-10-13,610.56
2022-10-14,608.63
2022-10-17,608.61
2022-10-18,610.88
2022-10-19,604.05
2022-10-20,599.65
2022-10-21,596.64
2022-10-24,596.05
2022-10-25,605.31
2022-10-26,608.80
2022-10-27,613.04
2022-10-28,610.82
2022-10-31,608.34
2022-11-01,610.95
2022-11-02,610.31
2022-11-03,605.87
2022-11-04,603.72
2022-11-07,601.64
2022-11-08,605.15
2022-11-09,605.59
2022-11-10,621.19
2022-11-11,621.26
2022-11-14,621.82
2022-11-15,628.11
2022-11-16,634.26
2022-11-17,630.41
2022-11-18,629.70
2022-11-21,631.37
2022-11-22,635.77
2022-11-23,641.72
2022-11-24,641.78
2022-11-25,642.58
2022-11-28,642.61
2022-11-29,637.58
2022-11-30,641.59
2022-12-01,652.42
2022-12-02,656.28
2022-12-05,650.79
2022-12-06,655.28
2022-12-07,662.17
2022-12-08,661.52
2022-12-09,653.78
2022-12-12,654.46
2022-12-13,658.89
2022-12-14,660.16
2022-12-15,659.90
2022-12-16,656.14
2022-12-19,649.81
2022-12-20,642.93
2022-12-21,644.46
2022-12-22,644.25
2022-12-23,640.22
2022-12-26,.
2022-12-27,633.99
2022-12-28,632.07
2022-12-29,635.84
2022-12-30,634.54
2022-12-31,634.54
2023-01-02,.
2023-01-03,636.70
2023-01-04,642.34
2023-01-05,642.83
2023-01-06,650.99
2023-01-09,654.31
2023-01-10,649.21
2023-01-11,655.99
2023-01-12,663.57
2023-01-13,660.49
2023-01-16,660.68
2023-01-17,659.35
2023-01-18,667.92
2023-01-19,664.58
2023-01-20,658.56
2023-01-23,657.10
2023-01-24,661.61
2023-01-25,662.39
2023-01-26,661.25
2023-01-27,659.98
2023-01-30,658.02
2023-01-31,661.41
2023-02-01,666.67
2023-02-02,667.72
2023-02-03,660.54
2023-02-06,655.74
2023-02-07,652.81
2023-02-08,654.37
2023-02-09,650.76
2023-02-10,646.20
2023-02-13,648.89
2023-02-14,647.53
2023-02-15,645.22
2023-02-16,640.59
2023-02-17,642.70
2023-02-20,642.89
2023-02-21,635.11
2023-02-22,637.73
2023-02-23,641.07
2023-02-24,636.43
2023-02-27,637.64
2023-02-28,638.63
2023-03-01,633.72
2023-03-02,631.35
2023-03-03,639.91
2023-03-06,638.45
2023-03-07,638.57
2023-03-08,637.69
2023-03-09,639.07
2023-03-10,649.42
2023-03-13,650.89
2023-03-14,646.15
2023-03-15,652.88
2023-03-16,651.06
2023-03-17,658.52
2023-03-20,655.53
2023-03-21,653.61
2023-03-22,661.01
2023-03-23,661.29
2023-03-24,662.46
2023-03-27,655.25
2023-03-28,654.77
2023-03-29,654.84
2023-03-30,657.85
2023-03-31,663.34
2023-04-03,665.89
2023-04-04,668.90
2023-04-05,671.53
2023-04-06,672.53
2023-04-07,.
2023-04-10,666.23
2023-04-11,667.67
2023-04-12,668.58
2023-04-13,665.88
2023-04-14,662.55
2023-04-17,658.85
2023-04-18,660.33
2023-04-19,659.48
2023-04-20,661.91
2023-04-21,660.46
2023-04-24,664.52
2023-04-25,670.90
2023-04-26,666.97
2023-04-27,663.03
2023-04-28,668.49
2023-04-30,668.62
2023-05-01,657.70
2023-05-02,666.22
2023-05-03,669.58
2023-05-04,665.97
2023-05-05,664.29
2023-05-08,658.61
2023-05-09,657.85
2023-05-10,662.66
2023-05-11,666.11
2023-05-12,662.42
2023-05-15,658.64
2023-05-16,655.84
2023-05-17,654.97
2023-05-18,651.73
2023-05-19,649.72
2023-05-22,649.01
2023-05-23,650.12
2023-05-24,648.12
2023-05-25,646.48
2023-05-26,647.24
2023-05-29,647.43
2023-05-30,654.35
2023-05-31,656.84
2023-06-01,658.61
2023-06-02,655.01
2023-06-05,654.61
2023-06-06,655.65
2023-06-07,650.13
2023-06-08,654.27
2023-06-09,652.89
2023-06-12,653.73
2023-06-13,650.52
2023-06-14,652.72
2023-06-15,657.11
2023-06-16,656.28
2023-06-19,656.47
2023-06-20,658.52
2023-06-21,659.39
2023-06-22,654.89
2023-06-23,657.94
2023-06-26,658.76
2023-06-27,657.27
2023-06-28,659.80
2023-06-29,653.02
2023-06-30,657.28
2023-07-03,655.40
2023-07-04,655.46
2023-07-05,652.13
2023-07-06,645.95
2023-07-07,644.84
2023-07-10,646.97
2023-07-11,648.59
2023-07-12,654.88
2023-07-13,659.55
2023-07-14,656.43
2023-07-17,656.64
2023-07-18,658.21
2023-07-19,662.28
2023-07-20,656.67
2023-07-21,657.46
2023-07-24,656.22
2023-07-25,655.44
2023-07-26,656.78
2023-07-27,650.06
2023-07-28,653.00
2023-07-31,654.33
2023-08-01,648.79
2023-08-02,645.04
2023-08-03,637.48
2023-08-04,644.45
2023-08-07,641.72
2023-08-08,645.57
2023-08-09,646.92
2023-08-10,641.23
2023-08-11,639.45
2023-08-14,638.77
2023-08-15,636.65
2023-08-16,633.72
2023-08-17,632.50
2023-08-18,633.92
2023-08-21,629.67
2023-08-22,632.29
2023-08-23,641.13
2023-08-24,639.55
2023-08-25,640.08
2023-08-28,641.37
2023-08-29,645.79
2023-08-30,646.03
2023-08-31,647.23
2023-09-01,641.91
2023-09-04,642.11
2023-09-05,637.49
2023-09-06,637.11
2023-09-07,638.77
2023-09-08,639.91
2023-09-11,638.14
2023-09-12,639.30
2023-09-13,639.60
2023-09-14,637.93
2023-09-15,635.95
2023-09-18,637.44
2023-09-19,635.26
2023-09-20,636.68
2023-09-21,629.04
2023-09-22,633.02
2023-09-25,625.72
2023-09-26,624.71
2023-09-27,622.28
2023-09-28,623.04
2023-09-29,623.15
2023-09-30,623.22
2023-10-02,617.34
2023-10-03,610.39
2023-10-04,615.05
2023-10-05,614.69
2023-10-06,611.10
2023-10-09,611.30
2023-10-10,619.45
2023-10-11,624.82
2023-10-12,616.72
2023-10-13,621.58
2023-10-16,616.94
2023-10-17,612.01
2023-10-18,607.92
2023-10-19,603.02
2023-10-20,604.79
2023-10-23,608.66
2023-10-24,612.27
